101536,Logan,2017-11-17,3,Alright. Worth a watch.  You could predict the plot toward the end which was ok but they could have cut about 20 minutes out of it. After a few i was like come on with it already.  Decent show.,true
101556,Logan,2017-03-14,5,"Although definitely too violent\, Logan is a very realistic\, moving and sometimes even genuinely tragic and heartbreaking movie. The character development is absolutely fantastic\, the performances from Patrick Stewart and Hugh Jackman are so good\, the humor is quite strong and the film's action is so well executed\, but also never overwhelming. It is such a well edited\, clever and emotional film with a couple of truly moving and beautiful sequences that are hard to forget leading to such a phenomenal\, genuinely different superhero outing that simultaneously works great as an X-Men and as a standalone movie.",true
101564,Logan,2017-02-27,3,"Although I enjoy the X men series and have seen them all\, the violence in this movie is unnecessarily graphic and is not for kids.",true
101574,Logan,2017-03-03,5,"Although I'm going to hold out hope that Ryan Reynolds can convince Hugh Jackman to return for Deadpool 2\, this would be one hell of a way to go out. The R rating made me a bit skeptical as it seemed a bit reactionary to capitalize on the success of Deadpool\, but it is used as a great story telling element that helped set the tone of the movie. Logan delivers on a multitude of levels for extreme ass-kickery in an extraordinary blend of action sequences and emotional gut punches making it easily the best X-men related film to date. Director James Mangold unleashes Wolverine in an adventure that gives fans of the iconic comic book character a long overdue showcase of the animal within. But for those unfamiliar with the franchise\, there is still a heartfelt action-packed story will keep you thoroughly entertained for one wild ride. To no surprise\, Hugh Jackman and Patrick Stewart give us the best performances in their franchise long tenure. Stewart captures the frail humanity of Professor X as he battles an unknown neurological disease without any sacrifice to his wise and even-tempered demeanor. Both he and Jackman bring a very seasoned and damaged presence that is almost painful to watch for those who have long been fan's of the franchise. I'm a little mixed on Dafne Keen's performance as X-23/Laura\, though at no fault of her own. For the majority of the movie I actually found her character to be quite irritable. The creators definitely went for a rebellious feral child kind of personality to emphasize her similarities with Logan and her ability to bring forth mass carnage. Even though given the context of Laura's upbringing this makes sense\, she spends about two-thirds of the movie shrieking with no audible dialogue in a manner that I found overly petulant. Luckily\, the third act manages to salvage her character in a way that makes me excited to see more of her in the future. Wolverine spends so much of Logan getting beaten down and struggling to get up rather than maiming his enemies\, that it really paints him our beloved hero in a fashion that we're not accustomed to. Quite honestly\, it took some time to realize he's no longer the bruiting beast we're used to seeing\, especially with X-23 outdoing him in almost every action sequence. Although it was a bit tough to digest that a small child is causing more bloodshed than our Adamantium-covered brute\, she definitely proves her strength. No one will ever replace Wolverine\, but we're in great hands with X-23 as she maims\, shreds\, hacks\, stabs\, and gouges her way in a series of flips\, kicks\, punches\, and leaps like you could not imagine without seeing for yourself. I wasn't too big a fan of the route they chose to give Logan a formidable opponent\, but that aside\, this third act is one of most spectacular I've seen by a comic book movie - perhaps ever. Mangold ties up Logan's \""final\"" run in a beautiful amalgamation of tear jerking moments and some much needed violence. All questions that you may have during the movie are answered in a way that doesn't feel shoehorned in and gives us one \""last\"" glimpse of Wolverine's unrelenting spirit to stand up for what's right and his inability to shy away from a fight - no matter the odds or consequences.\n\nScore - 9.5/10\n\nP.S. - No end credit scene\, only pre-film scene. Mangold masterfully does this to keep the tone set by the ending of the film intact.",true
101575,Logan,2017-05-01,4,"Although Im not a marvel fanboy i just love it in a regular way\,its surprisingly a great one i feel that i wanna see it again if i kept on saying good things about it it wont end no one acted bad except the father of the girl\, he was just bad The girl was the best thing in the movie she was excellent in this movie im excpecting her to have a great  future and chances in Hollywood and hugh Jackman was good as usual as wolverine and the action sequence was beyond amazing and beyond Fantastic can't wait to see it again and to  buy it on bluray or DVD \nMy score: 9.5/10",true
101581,Logan,2018-06-20,5,"Although it didn't keep me on the edge of my seat like most superhero movies\, it's better than The Dark Knight and that's saying something. Its earned it's 5 star rating.",true
101636,Logan,2017-03-04,1,"Although the actors do their job well\, this is just a BRAINLESS SLASHER MOVIE.  A typical X-Men movie has a smart captivating plot\, complex characters including the villains\, spectacular visual effects\, and much more.  Here is the plot of this movie (without spoilers):  An army of muscle bound special force soldiers attack Wolverine and get slashed to pieces - claws through the head - with blood and body parts flying all over.  The good guys get away but get attacked again and the same thing happens.  They get away again\, and then - you guessed it - same thing happens.  By the last bloodbath I was falling asleep due to the sheer stupidity of it.  As you may have seen from the trailer\, a young girl takes part in all the fighting and is even more vicious than Wolverine.  Apparently it's ok for a pre-teen girl to slash people to pieces - because hey\, they are the bad guys\, they deserve it.  The movie also DOES NOT STAY TRUE TO THE XMEN BACKSTORY AND FREQUENTLY TURNS INTO NONSENSE.  For example\, in previous movies we are told that an adamantium bullet would not kill a being with an adamantium skull\, but would erase memories.  This movie thinks however that an adamantium bullet can blow off half of an adamantium skull.  There are other examples\, but I don't want to give away the plot.  Bottom Line:  I love the X-Men series and have seen every movie\, sometimes multiple times.  This one is not worth seeing in a theater (unless you are into Halloween Slasher movies\, because in that category it's top notch).",true
101637,Logan,2017-03-07,4,"Although the atmosphere surrounding Logan brings to mind the depressing nature of Rocky Balboa\, the story\, like Rocky\, tugs at your heart strings nearly the entire time. If you're expecting another X-Men movie\, rent Apocalypse. Logan is not that. Instead\, Logan brings you the story of an old hero that has long lost the ability--and the will--to care about anyone\, especially himself. But we find that sometimes all one needs is the purpose to move forward. And that purpose can come in many shapes and sizes.",true
101658,Logan,2017-04-01,3,"Although the performances from Hugh Jackman\, Patrick Stewart and Dafne Keen are all Oscar-worthy \, the film lacks the fun of previous X-Men movies and in some points of the story\, you'll find yourself being bored.  The movie takes advantage of its R-rating with some incredible\, bloody action sequences. It also gives us an important lesson on family\, saying that no matter what\, they are the most important people in the world.  It is certainly not the worst movie in the franchise but not the best either.",true
101659,Logan,2017-03-27,4,"Although the plot was quite predictable\, it was a decent ending as a closure for any film franchise. It is also recommendable to whom haven't watched any of the previous wolverine movies as I was enjoyable. Logan's desperate struggle scene was emotionally touching. I admired Stewart and Jackman's performance since they seemed really aged and vulnerable in movie. Pretty surprisingly\, I also got satisfied with watching an amazing debut of Dafne Keen.",true
